Volume;MaximumRainfallIntensity;Runoff;RunoffVolume;MaximumRunoffIntensity;P-0;HR-1;HR-2;HR-3;HR-4;HR-5;T-1;T-2;T-3;T-4;T-5;PB-1;PB-2;PB-3;PB-4;PB-5;VV-1;VV-2;VV-3;VV-4;VV-5
4.1;2.2;0;0;0;0.1;38;43;50;68;86;16.4;15.3;14.9;13.8;11.3;942;942;942;943;943;2.7;2.77;3.23;2.37;1.9
7.2;4.9;1;2.8;1.34;0.4;32;29;27;26;22;17.7;19.1;20.3;21.4;24;944;943;943;942;942;0.76;0.84;1.17;1.44;1.12
0.1;0.1;0;0;0;0.1;57;56;53;48;39;10.5;11;12;13.3;15.6;945;945;945;945;944;1.69;2.09;1.74;2.02;1.14
0.2;0.2;0;0;0;0.2;32;35;38;41;45;20.4;18.3;16.2;14.4;12.2;946;947;947;947;947;1.23;1.34;1.48;1.48;2.07
1.1;1.1;0;0;0;1.1;29;30;32;35;38;23;22;20.4;18.3;16.2;945;946;946;947;947;1.26;1.22;1.23;1.34;1.48
0.3;0.3;0;0;0;0.3;34;37;39;42;45;27.4;26;25;23.9;22.8;946;946;946;946;946;1.4;1.45;1.41;1.76;1.45
0.1;0.1;0;0;0;0.1;18;18;20;23;24;33.2;34.5;33.6;33.2;32.4;944;945;945;946;946;1.74;1.7;2.04;1.9;1.66
4;3.3;0;0;0;0.3;17;18;18;17;18;34.1;34.2;34;33.8;32.7;940;941;941;942;943;1.27;1.03;1.26;1.48;1.92
0.7;0.7;0;0;0;0.7;49;53;53;52;45;21.1;19.6;19.1;19.7;21.2;943;943;942;942;941;0.89;0.92;0.89;0.86;0.86
0.9;0.9;0;0;0;0.9;24;25;28;29;31;30.2;29.7;29.3;28.7;27.8;941;941;942;943;943;1.99;1.76;1.97;1.6;1.73
0.1;0.1;0;0;0;0.1;24;24;24;25;28;30.2;30.4;30.2;29.7;29.3;940;940;941;941;942;2.01;1.59;1.99;1.76;1.97
0.3;0.2;0;0;0;0.2;27;25;25;25;27;29.4;29.9;29.8;29.4;28.1;943;944;944;944;944;1.5;1.21;1.39;1.39;1.69
7;2.9;1;0.8;0.57;0.6;49;47;43;41;40;21.3;22;23;23.7;24.4;947;947;947;946;946;1.49;1.66;1.52;1.78;1.91
